"Sector","correlation"
"Agriculture",-0.862986605085309
"Construction",0.684289236259372
"Consumer Exp",-0.411228710277074
"Energy",-0.665710754343177
"Manufacturing",-0.981816091035902
"Mining",-0.985978141978715
"Other Sectors",-0.818090826231007
"Public Admin",-0.978693276125372
"Retail & Auto",0.951345750667142
"Transport",0.472402941771536
"Water & Waste",-0.956821690395616
