"Sector","Emissions","year",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"Manufacturing",90.6396,2009,103.445593487994,-12.8059934879943,0.0590150590150591,5.88520889426254,0.135874169073855,-2.08158122555991
"Manufacturing",93.988,2010,99.3933411680919,-5.40534116809187,0.0669515669515671,6.37122661174237,0.0279326049820149,-0.8823531464389
"Manufacturing",90.258,2011,95.3410888481903,-5.08308884819034,0.0761090761090763,6.38216478518267,0.0286393593715556,-0.833851612066431
"Manufacturing",86.7599,2012,91.2888365282879,-4.52893652828791,0.0864875864875868,6.40013589740918,0.0264259244192995,-0.747154522857882
"Manufacturing",89.4429,2013,87.2365842083855,2.20631579161454,0.0980870980870985,6.45541668055902,0.00729677378668211,0.366316765529207
"Manufacturing",88.7972,2014,83.184331888483,5.61286811151697,0.110907610907612,6.35774043978017,0.0549477721495477,0.938604891952784
"Manufacturing",86.0362,2015,79.1320795685806,6.9041204314194,0.124949124949126,6.2950432564853,0.0966932544067607,1.1637592041209
"Manufacturing",80.2012,2016,75.0798272486782,5.12137275132184,0.140211640211641,6.37386990319676,0.0618424332647042,0.870887441788681
"Consumer Exp",143.7421,1990,156.946316748767,-13.2042167487674,0.135467980295636,6.63818097404083,0.315207274578883,-2.00578937874727
"Consumer Exp",152.2236,1991,156.565281116583,-4.34168111658349,0.121237000547336,7.16060524673047,0.0295191573332406,-0.65416192898397
"Consumer Exp",150.5669,1992,156.1842454844,-5.61734548439964,0.108100711548979,7.12159657182927,0.0427716141561055,-0.840110572995926
"Consumer Exp",155.3459,1993,155.803209852216,-0.457309852215786,0.0960591133004855,7.21962924370845,0.000245231401501422,-0.0679365934968056
"Consumer Exp",150.1518,1994,155.422174220032,-5.27037422003195,0.0851122058018549,7.13567540301498,0.0281731584288864,-0.778252922740529
"Consumer Exp",144.6626,1995,155.041138587848,-10.3785385878481,0.0752599890530875,6.89007152828045,0.0945570064141755,-1.52436723008961
"Consumer Exp",159.7926,1996,154.660102955664,5.13249704433576,0.0665024630541831,7.14167584352166,0.0200523486008835,0.750300686378731
"Consumer Exp",153.9218,1997,154.27906732348,-0.357267323480357,0.0588396278051418,7.2198944502763,8.45718238280468e-05,-0.0520145330446924
"Consumer Exp",156.4477,1998,153.898031691297,2.54966830870345,0.0522714833059635,7.20124477940199,0.00377364247267419,0.369917549648459
"Consumer Exp",157.2015,1999,153.516996059113,3.68450394088737,0.0467980295566484,7.18071151481911,0.0069744860116312,0.533027706054009
"Consumer Exp",157.4523,2000,153.135960426929,4.31633957307116,0.0424192665571963,7.16617447665637,0.00859686321045163,0.623004420564974
"Consumer Exp",161.0766,2001,152.754924794745,8.32167520525502,0.0391351943076073,7.01779661801078,0.0292793139496884,1.19906531942291
"Consumer Exp",160.1931,2002,152.373889162561,7.8192108374389,0.0369458128078813,7.04222104719246,0.0242932756148178,1.12538412792515
"Consumer Exp",160.1966,2003,151.992853530377,8.20374646962276,0.0358511220580185,7.02425372101652,0.0258902035792061,1.18005813810422
"Consumer Exp",163.0671,2004,151.611817898193,11.4552821018066,0.0358511220580187,6.83287519501868,0.0504803761238498,1.64777140768202
"Consumer Exp",159.532,2005,151.23078226601,8.30121773399046,0.036945812807882,7.0192697235485,0.0273806554688258,1.19475722991805
