"Sector","term","estimate","std.error","statistic","p.value"
"Energy","(Intercept)",4534.75803864248,958.326449422394,4.73195542226314,6.81946613217802e-05
"Energy","year",-2.17586450465238,0.47832226626046,-4.54895090220944,0.00011055912937235
"Manufacturing","(Intercept)",8244.42050417182,313.874375705578,26.2666249375683,1.00389911347141e-19
"Manufacturing","year",-4.05225231990235,0.156700949896697,-25.8597814663776,1.46346108301128e-19
"Consumer Exp","(Intercept)",915.207224794637,331.864179898477,2.75777646468087,0.0105061540443573
"Consumer Exp","year",-0.381035632183854,0.165640869784387,-2.30037208015054,0.0297033078006875
"Water & Waste","(Intercept)",4911.57910093615,294.933136961332,16.653195200579,4.83265301476172e-15
"Water & Waste","year",-2.423437973138,0.147244586672488,-16.4585879040048,6.33191920625716e-15
"Transport","(Intercept)",-1062.97535577451,420.225048945357,-2.52953829963795,0.0178222306289763
"Transport","year",0.573223262178444,0.209743765156545,2.73296925775416,0.011137028948258
"Agriculture","(Intercept)",541.687166442819,57.2258923522246,9.46577054856117,9.59586356540338e-10
"Agriculture","year",-0.244003479853481,0.028569875033989,-8.54058617908532,6.98913102721221e-09
"Mining","(Intercept)",2678.31999550267,89.4673088976589,29.9362977215106,4.20811659196036e-21
"Mining","year",-1.31955476190477,0.0446663167627135,-29.5425022151437,5.80833579677578e-21
"Other Sectors","(Intercept)",463.320086019541,61.6686134282805,7.51306151156413,7.24011151631696e-08
"Other Sectors","year",-0.218986019536022,0.0307878917522351,-7.11273189143015,1.86881190000351e-07
"Public Admin","(Intercept)",578.119039540094,23.8869158157454,24.2023308492182,7.2102676767404e-19
"Public Admin","year",-0.284213614163616,0.0119254793896933,-23.8324686896235,1.04343585275242e-18
"Retail & Auto","(Intercept)",-417.466878205131,27.971013266336,-14.9249823104394,5.87360933871666e-14
"Retail & Auto","year",0.215578205128207,0.0139644542137437,15.4376391535615,2.73404018638621e-14
"Construction","(Intercept)",-121.830528571429,27.9694937162347,-4.35583603362521,0.000197846712886253
"Construction","year",0.0655174603174606,0.0139636955823844,4.69198572332904,8.27857532022048e-05
